This is XeTeX, Version 3.141592653-2.6-0.999995 (TeX Live 2023) (preloaded format=xelatex 2023.12.13)  18 DEC 2023 14:55
entering extended mode
 restricted \write18 enabled.
 %&-line parsing enabled.
**copyright.tex
(./copyright.tex
LaTeX2e <2023-11-01>
L3 programming layer <2023-12-11>

! LaTeX Error: Missing \begin{document}.

See the LaTeX manual or LaTeX Companion for explanation.
Type  H <return>  for immediate help.
 ...                                              
                                                  
l.2 \begin{flushleft}
                     
You're in trouble here.  Try typing  <return>  to proceed.
If that doesn't work, type  X <return>  to quit.


Overfull \hbox (20.0pt too wide) in paragraph at lines 2--2
[] 
 []

Missing character: There is no I ("49) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no U ("55) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no v ("76) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no y ("79) in font nullfont!
Missing character: There is no B ("42) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no g ("67) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no L ("4C) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no P ("50) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no g ("67) in font nullfont!
Missing character: There is no 1 ("31) in font nullfont!
Missing character: There is no 3 ("33) in font nullfont!
Missing character: There is no 2 ("32) in font nullfont!
Missing character: There is no 0 ("30) in font nullfont!
Missing character: There is no E ("45) in font nullfont!
Missing character: There is no . ("2E) in font nullfont!
Missing character: There is no T ("54) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no S ("53) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
